,ROI_1,ROI_2,ROI_3
0,92.0821,88.12706,93.921486
1,92.08888,88.13724,93.90958
2,92.09585,88.13198,93.9138
3,92.11005,88.11407,93.89265
4,92.11744,88.08249,93.879814
5,92.106186,88.05203,93.87196
6,92.095345,88.02627,93.85083
7,92.08835,88.06257,93.86722
8,92.095665,88.06362,93.86103
9,92.0997,88.071625,93.86642
10,92.11082,88.08021,93.881035
11,92.11903,88.08976,93.88611
12,92.11691,88.101234,93.875275
13,92.115265,88.105644,93.8811
14,92.11105,88.11342,93.88583
15,92.10967,88.11333,93.88977
16,92.11215,88.114174,93.90613
17,92.104675,88.10002,93.905
18,92.1062,88.107895,93.921616
19,92.10209,88.097755,93.922104
20,92.10515,88.10189,93.9253
21,92.1072,88.10392,93.916115
22,92.11452,88.101715,93.915985
23,92.1174,88.10733,93.924644
24,92.12533,88.10519,93.92636
25,92.13626,88.10251,93.927704
26,92.14162,88.1043,93.91468
27,92.1388,88.107574,93.92416
28,92.12635,88.09215,93.91889
29,92.13979,88.10286,93.929474
30,92.154976,88.13211,93.95242
31,92.15525,88.13086,93.9526
32,92.165436,88.16717,93.97058
33,92.16372,88.16494,93.983734
34,92.167946,88.15321,93.98508
35,92.174034,88.163315,93.98051
36,92.17067,88.15523,93.96129
37,92.171394,88.15002,93.96646
38,92.16994,88.14366,93.95738
39,92.173615,88.13266,93.94419
40,92.172874,88.12188,93.94627
41,92.1726,88.115875,93.94739
42,92.17353,88.111786,93.94391
43,92.17691,88.1157,93.94708
44,92.174995,88.11239,93.95216
45,92.17678,88.120834,93.953636
46,92.17368,88.12767,93.95473
47,92.17494,88.13981,93.93846
48,92.173325,88.14286,93.9499
49,92.17756,88.15327,93.95816
50,92.17904,88.16647,93.96231
51,92.18038,88.18058,93.97676
52,92.1805,88.19412,93.99098
53,92.17334,88.19782,94.0024
54,92.17275,88.208664,94.00362
55,92.17311,88.218925,93.9996
56,92.17212,88.22382,94.003075
57,92.17292,88.21546,94.00317
58,92.18005,88.22789,94.00041
59,92.181114,88.22768,93.996124
60,92.17542,88.21894,93.98923
61,92.14756,88.18248,93.95635
62,92.12755,88.14646,93.938896
63,92.12528,88.13596,93.935844
64,92.126686,88.14149,93.94339
65,92.12731,88.135506,93.948555
66,92.13068,88.13006,93.94986
67,92.13188,88.130325,93.938614
68,92.12908,88.121086,93.95241
69,92.12311,88.12083,93.939865
70,92.12399,88.12292,93.94496
71,92.11443,88.11455,93.93917
72,91.96943,87.90545,93.92512
73,92.08274,88.027695,93.91524
74,92.08754,88.04553,93.91615
75,92.093796,88.04948,93.92682
76,92.10745,88.04901,93.92728
77,92.11488,88.0478,93.921814
78,92.12693,88.064995,93.931496
79,92.12194,88.05325,93.92756
80,92.11316,88.04173,93.91225
81,92.11331,88.046295,93.918495
82,92.10743,88.04587,93.915245
83,92.100716,88.037476,93.89636
84,92.099,88.02851,93.9049
85,91.95572,87.86746,93.921234
86,92.077126,87.982666,93.91645
87,92.079475,88.005424,93.902405
88,92.08863,88.01682,93.88878
89,92.0793,88.01093,93.883865
90,92.09991,88.03277,93.90404
91,92.10022,88.03395,93.90317
92,92.11681,88.0497,93.90739
93,92.12811,88.05734,93.91233
94,92.000824,87.92542,93.94189
95,92.12761,88.03718,93.95541
96,92.13731,88.05075,93.96612
97,92.14516,88.06701,93.9632
98,92.15958,88.07678,93.98137
99,92.16244,88.09201,93.98154
100,92.161476,88.0942,93.98901
101,92.16834,88.08942,94.0083
102,92.1713,88.09574,94.003
103,92.17168,88.088104,93.993095
104,92.027855,87.933014,94.00743
105,92.15116,88.06437,94.004074
