,ROI_1,ROI_2,ROI_3
0,97.65475,93.510796,94.582275
1,97.733536,93.483925,94.582275
2,97.648155,93.48913,94.54323
3,97.6425,93.47111,94.5367
4,97.67848,93.51904,94.51033
5,97.66357,93.49246,94.51266
6,97.637314,93.515144,94.50806
7,97.658516,93.48035,94.56026
8,97.68802,93.45627,94.58658
9,97.68511,93.444405,94.58684
10,97.68876,93.41231,94.60908
11,97.7096,93.43697,94.6134
12,97.69928,93.43176,94.58555
13,97.67631,93.454094,94.57026
14,97.65241,93.45449,94.56592
15,97.650444,93.458786,94.56722
16,97.637405,93.46462,94.582924
17,97.66564,93.480896,94.576225
18,97.67936,93.48018,94.632416
19,97.713646,93.49322,94.63001
20,97.70697,93.50182,94.61459
21,97.706535,93.51586,94.615486
22,97.69791,93.55206,94.59687
23,97.69093,93.536064,94.59876
24,97.68132,93.562225,94.58883
25,97.70885,93.553276,94.59845
26,97.71045,93.56594,94.58682
27,97.7096,93.5783,94.60937
28,97.79558,93.54829,94.61928
29,97.737785,93.528275,94.60177
30,97.72957,93.47565,94.5949
31,97.66821,93.48569,94.57406
32,97.61779,93.53962,94.58266
33,97.59462,93.56178,94.57795
34,97.58034,93.56545,94.60249
35,97.56979,93.58427,94.59246
36,97.589676,93.602455,94.57244
37,97.57721,93.61433,94.56982
38,97.61766,93.56853,94.54484
39,97.569496,93.58837,94.54977
40,97.59102,93.5911,94.54895
41,97.59117,93.564384,94.54634
42,97.6255,93.53832,94.534485
43,97.59556,93.51563,94.55273
44,97.653366,93.53917,94.5266
45,97.65825,93.55511,94.536446
46,97.64391,93.5316,94.53144
47,97.66501,93.61166,94.56684
48,97.70567,93.59072,94.564316
49,97.721596,93.58301,94.585396
50,97.68684,93.581535,94.553055
51,97.681526,93.578804,94.55389
52,97.681526,93.55718,94.54088
53,97.669815,93.55924,94.539444
54,97.66604,93.56161,94.53758
55,97.6597,93.532524,94.54531
56,97.64462,93.532524,94.54123
57,97.64462,93.532524,94.54123
58,97.67963,93.54088,94.52117
59,97.70302,93.54191,94.517044
60,97.71843,93.515045,94.53229
61,97.682976,93.50667,94.51164
62,97.68312,93.52602,94.51404
63,97.71067,93.542336,94.52222
64,97.67912,93.518394,94.517685
65,97.67422,93.541275,94.53187
66,97.64947,93.542336,94.4989
67,97.62148,93.54022,94.49096
68,97.67936,93.54106,94.48905
69,97.65873,93.53823,94.46832
70,97.71075,93.574394,94.50066
71,97.68333,93.565254,94.511894
72,97.564285,93.56036,94.49697
73,97.534744,93.53288,94.493805
74,97.543015,93.53203,94.52092
75,97.54514,93.56434,94.520355
76,97.582825,93.561844,94.54498
77,97.56047,93.5618,94.56973
78,97.57492,93.559555,94.586754
79,97.591354,93.559555,94.600204
80,97.7015,93.537445,94.617966
81,97.72995,93.53674,94.61069
82,97.697395,93.56252,94.588425
83,97.72073,93.540054,94.58833
84,97.75368,93.513756,94.62997
85,97.72995,93.51438,94.62792
86,97.748604,93.53418,94.61268
87,97.759834,93.518135,94.59796
88,97.71006,93.56817,94.60326
89,97.71434,93.569305,94.599106
90,97.690506,93.54435,94.58286
91,97.72797,93.58593,94.59706
92,97.7462,93.60216,94.590034
93,97.71994,93.53919,94.62125
94,97.70705,93.531075,94.62977
95,97.694145,93.57028,94.64131
96,97.710266,93.57028,94.60714
97,97.72164,93.57285,94.6107
98,97.72457,93.584694,94.635445
99,97.734795,93.56373,94.63373
100,97.77254,93.58023,94.615456
101,97.78677,93.5784,94.58416
102,97.74547,93.56045,94.602264
103,97.77882,93.5632,94.58433
104,97.75373,93.5162,94.59159
105,97.74598,93.495056,94.62955
106,97.709656,93.48798,94.59894
107,97.7409,93.51551,94.587364
108,97.732864,93.50353,94.5873
109,97.74287,93.486534,94.66416
110,97.75598,93.480865,94.727356
111,97.67478,93.50261,94.64124
112,97.60714,93.50462,94.62698
113,97.58161,93.51546,94.63115
114,97.55533,93.51653,94.644844
115,97.58472,93.52645,94.61152
116,97.57614,93.52353,94.57841
117,97.59641,93.54036,94.53402
118,97.59519,93.557365,94.55291
119,97.64194,93.562744,94.50607
120,97.65389,93.57423,94.51053
121,97.65514,93.5826,94.51177
122,97.63017,93.58875,94.50637
123,97.63438,93.595146,94.52459
124,97.64241,93.60138,94.51432
125,97.67343,93.59138,94.51902
126,97.645744,93.60201,94.514244
127,97.63273,93.59132,94.51206
128,97.66622,93.591286,94.51521
129,97.68176,93.55894,94.51173
130,97.68636,93.57603,94.53274
131,97.69827,93.59121,94.54303
132,97.6964,93.61808,94.55884
133,97.72462,93.59123,94.57325
134,97.71262,93.57963,94.57755
135,97.74745,93.59226,94.58675
136,97.74943,93.57876,94.57262
137,97.75207,93.578674,94.57026
138,97.72506,93.565735,94.53262
139,97.67843,93.57856,94.54698
140,97.68908,93.619385,94.54568
141,97.7062,93.60631,94.55005
142,97.70305,93.60512,94.55232
143,97.70991,93.589035,94.53645
144,97.691765,93.57573,94.53769
145,97.69702,93.531555,94.54576
146,97.763954,93.50411,94.54253
147,97.74299,93.49378,94.5258
148,97.732,93.492676,94.530914
149,97.715034,93.49547,94.55289
150,97.715256,93.49525,94.55259
151,97.70357,93.53579,94.5388
152,97.7212,93.53579,94.539314
153,97.74263,93.49321,94.55155
154,97.72577,93.50937,94.55981
155,97.736755,93.52449,94.54373
156,97.71182,93.53188,94.52353
157,97.7141,93.52852,94.56207
158,97.73367,93.5219,94.56207
159,97.71531,93.49927,94.536514
160,97.68694,93.51664,94.5411
161,97.71909,93.52278,94.54551
162,97.71733,93.52157,94.54898
163,97.72489,93.4984,94.53934
164,97.738815,93.50302,94.515884
