,ROI_1,ROI_2,ROI_3
0,94.26149,92.40597,94.36848
1,94.28824,92.40597,94.42194
2,94.28226,92.39114,94.3991
3,94.287964,92.42411,94.398796
4,94.28551,92.43392,94.38682
5,94.28281,92.4076,94.36214
6,94.286285,92.40718,94.37211
7,94.28532,92.40137,94.41076
8,94.28824,92.39934,94.43367
9,94.2843,92.41275,94.429344
10,94.27944,92.39302,94.38933
11,94.27697,92.38263,94.41073
12,94.27566,92.372375,94.401955
13,94.26776,92.37462,94.38055
14,94.263,92.39606,94.37165
15,94.26089,92.4073,94.37514
16,94.26148,92.40913,94.36765
17,94.26322,92.40776,94.37059
18,94.27389,92.43709,94.412575
19,94.285866,92.424805,94.42416
20,94.28676,92.43601,94.41256
21,94.29097,92.43094,94.41479
22,94.29172,92.44704,94.411804
23,94.290665,92.44844,94.414276
24,94.291985,92.45055,94.41176
25,94.28648,92.446045,94.41198
26,94.28824,92.44776,94.41554
27,94.29244,92.46335,94.4319
28,94.289825,92.44879,94.42947
29,94.27995,92.460724,94.40546
30,94.27651,92.44491,94.41583
31,94.26439,92.45324,94.39522
32,94.26242,92.432556,94.37767
33,94.26117,92.43207,94.40333
34,94.2628,92.437065,94.38877
35,94.274826,92.459175,94.39411
36,94.28564,92.45669,94.37286
37,94.28823,92.46001,94.37192
38,94.29329,92.464096,94.37802
39,94.29051,92.469536,94.37118
40,94.2865,92.46147,94.352875
41,94.28343,92.45183,94.341736
42,94.284584,92.4422,94.35175
43,94.289215,92.42883,94.35116
44,94.294785,92.42293,94.37377
45,94.30014,92.440254,94.37376
46,94.307625,92.439606,94.388374
47,94.32555,92.48758,94.415115
48,94.331955,92.477264,94.40736
49,94.335815,92.48564,94.43426
50,94.333466,92.49027,94.422646
51,94.32878,92.49132,94.41854
52,94.326096,92.48241,94.402565
53,94.32626,92.46639,94.394005
54,94.31774,92.44487,94.38408
55,94.31054,92.453064,94.37327
56,94.307175,92.44673,94.36239
57,94.307175,92.44673,94.36239
58,94.29916,92.4411,94.3584
59,94.29423,92.43796,94.36155
60,94.29382,92.448524,94.37754
61,94.30025,92.46832,94.36962
62,94.30185,92.46158,94.36848
63,94.30447,92.48022,94.37832
64,94.3017,92.48178,94.38226
65,94.29454,92.46599,94.398384
66,94.29654,92.47504,94.36181
67,94.29729,92.46912,94.36848
68,94.29741,92.46933,94.37269
69,94.2896,92.46922,94.37848
70,94.29294,92.47543,94.37986
71,94.29106,92.46167,94.38961
72,94.28112,92.46106,94.36057
73,94.2771,92.442856,94.35441
74,94.28336,92.43948,94.35783
75,94.287415,92.44887,94.37329
76,94.30138,92.44642,94.3893
77,94.311905,92.44714,94.399185
78,94.31062,92.456535,94.40508
79,94.310844,92.46436,94.40794
80,94.315155,92.47563,94.41489
81,94.3053,92.4653,94.41068
82,94.30661,92.48619,94.407776
83,94.29671,92.48706,94.40424
84,94.29338,92.485565,94.40642
85,94.29481,92.48063,94.405846
86,94.297,92.484634,94.428185
87,94.30475,92.49072,94.429405
88,94.30939,92.49332,94.42784
89,94.312256,92.49373,94.43216
90,94.31375,92.46678,94.43086
91,94.326324,92.52228,94.44868
92,94.32776,92.51199,94.45229
93,94.32098,92.51021,94.46009
94,94.31808,92.50536,94.46419
95,94.322205,92.49242,94.43004
96,94.31619,92.491165,94.43321
97,94.30555,92.492294,94.43024
98,94.30612,92.500565,94.424416
99,94.30684,92.486465,94.42439
100,94.30678,92.48111,94.41337
101,94.29819,92.481125,94.38658
102,94.29571,92.48094,94.405045
103,94.29739,92.48866,94.403786
104,94.29286,92.4657,94.39935
105,94.286514,92.44591,94.38652
106,94.287094,92.44971,94.3779
107,94.29159,92.45126,94.36728
108,94.30307,92.45157,94.370056
109,94.30902,92.45963,94.37059
110,94.31092,92.45729,94.3905
111,94.303535,92.44368,94.39273
112,94.30141,92.46447,94.39258
113,94.29683,92.46216,94.36829
114,94.30615,92.482315,94.37758
115,94.30269,92.47101,94.372925
116,94.29402,92.46644,94.36147
117,94.28473,92.44867,94.341736
118,94.28003,92.45653,94.33643
119,94.27969,92.47168,94.33967
120,94.28134,92.47437,94.34514
121,94.27997,92.48248,94.363
122,94.28416,92.489716,94.369316
123,94.28459,92.49133,94.36663
124,94.28697,92.48825,94.37559
125,94.28734,92.48384,94.37559
126,94.28356,92.452194,94.36848
127,94.2832,92.47127,94.36848
128,94.28971,92.48259,94.38052
129,94.28885,92.46509,94.38048
130,94.29512,92.45662,94.38781
131,94.302574,92.478165,94.39371
132,94.31352,92.48244,94.40283
133,94.31901,92.48865,94.403885
134,94.32185,92.500626,94.40678
135,94.330765,92.5178,94.428024
136,94.33066,92.51108,94.43079
137,94.32147,92.509544,94.438156
138,94.31342,92.50855,94.41953
139,94.30846,92.5089,94.415146
140,94.30521,92.4888,94.39522
141,94.30388,92.48305,94.4068
142,94.30394,92.484985,94.40644
143,94.29268,92.46553,94.38746
144,94.2911,92.46197,94.39522
145,94.295334,92.45634,94.39617
146,94.29191,92.42702,94.39808
147,94.29214,92.43414,94.39522
148,94.29114,92.42941,94.39019
149,94.30058,92.44101,94.39244
150,94.300026,92.4413,94.39209
151,94.31108,92.44095,94.396805
152,94.31823,92.44283,94.398155
153,94.31331,92.44974,94.38969
154,94.31265,92.45085,94.385284
155,94.31648,92.44945,94.405525
156,94.32384,92.46318,94.40272
157,94.32953,92.45999,94.432205
158,94.33159,92.46469,94.42758
159,94.32731,92.45617,94.4072
160,94.32742,92.4626,94.42896
161,94.32603,92.45925,94.41932
162,94.321846,92.46268,94.40328
163,94.324646,92.442116,94.405426
164,94.32594,92.4403,94.39522
165,94.322365,92.46406,94.39522
166,94.3265,92.46295,94.374466
167,94.32054,92.44106,94.378204
168,94.321014,92.4601,94.38566
169,94.31381,92.457634,94.3806
170,94.31384,92.47865,94.3879
171,94.31673,92.49539,94.39253
172,94.31584,92.49636,94.414955
173,94.3061,92.47806,94.40281
174,94.30263,92.48004,94.40048
175,94.292465,92.460014,94.38312
176,94.27968,92.45668,94.37095
177,94.270935,92.464584,94.34541
178,94.2679,92.47788,94.3573
179,94.26868,92.48688,94.36568
180,94.27318,92.474,94.375244
181,94.272736,92.486404,94.358
182,94.27474,92.4913,94.36947
183,94.28181,92.49498,94.369286
184,94.28133,92.49403,94.36663
185,94.28386,92.488785,94.36864
186,94.28229,92.47836,94.38746
187,94.28998,92.49263,94.38779
188,94.29053,92.49634,94.37708
189,94.30139,92.4892,94.401276
190,94.295074,92.49343,94.37163
191,94.29643,92.526566,94.3704
192,94.29063,92.520454,94.38214
193,94.29275,92.511955,94.39829
194,94.290665,92.473206,94.39066
195,94.29968,92.50191,94.40047
196,94.304855,92.497345,94.42527
197,94.30368,92.49092,94.39618
198,94.30888,92.50461,94.39507
199,94.31735,92.50602,94.39529
200,94.33176,92.51462,94.39555
201,94.33974,92.52431,94.39634
202,94.34131,92.50862,94.39804
203,94.3412,92.513855,94.40345
204,94.33856,92.52614,94.395515
205,94.3349,92.52956,94.39529
206,94.337,92.52463,94.39522
207,94.34124,92.538635,94.406296
208,94.339035,92.53386,94.41018
209,94.33863,92.541046,94.42442
210,94.34157,92.55159,94.40172
211,94.34157,92.55159,94.40172
212,94.34157,92.55159,94.40172
213,94.34294,92.51376,94.41005
214,94.33355,92.50524,94.421135
215,94.328156,92.49509,94.39522
216,94.335304,92.49013,94.3848
217,94.33198,92.47643,94.37004
218,94.32207,92.45276,94.34366
219,94.316055,92.42528,94.343765
220,94.314766,92.43226,94.343315
221,94.31404,92.4502,94.35531
222,94.31236,92.4576,94.370125
223,94.31557,92.4344,94.358665
224,94.31676,92.45052,94.36951
225,94.32457,92.44589,94.369286
226,94.32407,92.446945,94.34518
227,94.309784,92.449554,94.354774
228,94.29987,92.434586,94.3427
229,94.29991,92.44096,94.341415
230,94.3029,92.46127,94.34165
231,94.30139,92.47661,94.34161
232,94.29435,92.44774,94.341415
233,94.29614,92.46724,94.32835
234,94.27162,92.46761,94.287674
235,94.26044,92.45018,94.26149
236,94.26044,92.45018,94.26149
237,94.25413,92.44431,94.24135
238,94.246704,92.43443,94.24597
239,94.23871,92.41443,94.21728
240,94.22299,92.393906,94.20589
241,94.21669,92.40686,94.212654
242,94.20931,92.38827,94.21272
243,94.205986,92.39734,94.2322
244,94.20221,92.40379,94.22702
245,94.19791,92.37884,94.21999
246,94.20113,92.393425,94.2261
247,94.2038,92.411415,94.234726
248,94.2097,92.41882,94.23737
249,94.21803,92.413345,94.259346
250,94.22224,92.41524,94.24945
251,94.234726,92.42973,94.27393
252,94.22638,92.42876,94.27354
253,94.216034,92.4247,94.272545
254,94.21747,92.41921,94.26608
255,94.21606,92.42748,94.28081
256,94.21857,92.41369,94.27803
257,94.21901,92.43487,94.2715
258,94.22516,92.429855,94.286644
259,94.21626,92.40613,94.28117
260,94.21436,92.39193,94.29796
261,94.21458,92.3777,94.29773
262,94.21628,92.37848,94.29888
263,94.21366,92.38089,94.29778
264,94.20825,92.36818,94.28985
265,94.20438,92.36365,94.30468
266,94.20049,92.37073,94.28269
267,94.238495,92.39975,94.30825
268,94.238655,92.401436,94.30334
269,94.26552,92.45236,94.33357
270,94.27402,92.46997,94.34512
271,94.27725,92.46341,94.348785
272,94.27568,92.49604,94.34666
273,94.268394,92.47493,94.33472
274,94.26742,92.45903,94.33038
275,94.27057,92.45047,94.31627
276,94.27541,92.46057,94.33552
277,94.2773,92.45285,94.33258
278,94.27784,92.46417,94.33399
279,94.27591,92.462715,94.339935
280,94.271225,92.46323,94.34401
281,94.261795,92.47885,94.32224
282,94.25794,92.47981,94.341
283,94.25366,92.45413,94.32521
284,94.25597,92.47621,94.31175
285,94.25825,92.46042,94.311195
286,94.25937,92.48108,94.30634
287,94.250244,92.47525,94.30545
288,94.26019,92.462166,94.324394
289,94.260376,92.471664,94.31499
290,94.26149,92.4765,94.32724
291,94.25401,92.46945,94.327675
292,94.25863,92.46495,94.32512
293,94.25809,92.46806,94.32885
294,94.250336,92.44127,94.30823
295,94.25743,92.44301,94.30702
296,94.25508,92.42973,94.30089
297,94.25739,92.43298,94.29465
298,94.25504,92.42073,94.289894
299,94.26228,92.407974,94.308105
300,94.264404,92.4216,94.289955
301,94.265625,92.40796,94.2865
302,94.26811,92.43368,94.30417
303,94.26309,92.43562,94.2836
304,94.266525,92.43286,94.30723
305,94.2642,92.42076,94.28767
306,94.26222,92.43184,94.28202
307,94.27009,92.444984,94.3153
308,94.273705,92.44873,94.32109
309,94.27432,92.45503,94.30353
310,94.26554,92.45494,94.306046
311,94.26613,92.44682,94.31151
312,94.27005,92.45278,94.31499
313,94.27788,92.48065,94.33577
314,94.280975,92.47396,94.31878
315,94.27579,92.47919,94.2973
316,94.27719,92.47137,94.310745
317,94.282166,92.48133,94.31061
318,94.28169,92.4836,94.29829
319,94.29202,92.503204,94.31139
320,94.307465,92.5255,94.32945
321,94.320526,92.51994,94.340836
322,94.31812,92.498566,94.336334
323,94.31198,92.48487,94.31059
324,94.306305,92.482056,94.31349
325,94.31233,92.49382,94.31831
326,94.31253,92.50061,94.314514
327,94.312744,92.50804,94.31425
328,94.312744,92.50804,94.31425
329,94.314026,92.50734,94.31198
330,94.311264,92.51132,94.328735
331,94.30373,92.50931,94.33261
332,94.30161,92.51573,94.33044
333,94.289795,92.49829,94.32273
334,94.281975,92.50069,94.33553
335,94.27609,92.501724,94.32638
336,94.274185,92.484566,94.31649
337,94.27342,92.4951,94.31499
338,94.268684,92.48999,94.329796
339,94.262726,92.4774,94.31715
